ID,SMILES,vdW_vol,LogP_JC_cap,pKa_cap
433,COc1cccc(C(N)C(=O)O)c1,167.7854671,-0.133137363,12.06651628
439,COc1ccccc1C(N)C(=O)O,167.7854671,-0.133137363,12.04254197
443,NC(C(=O)O)C(O)c1ccccc1,167.7854671,-0.605801039,12.26821714
449,NC(Cc1ccccc1O)C(=O)O,167.7854671,0.009629786,9.350709393
457,NC(Cc1cccc(O)c1)C(=O)O,167.7854671,0.009629786,9.459418194
461,NC(Cc1ccc(O)cc1)C(=O)O,167.7854671,0.009629786,9.503592937
463,NC(COc1ccccc1)C(=O)O,167.7854671,-0.055889607,12.26088912
467,NC(C(=O)O)c1ccc(C=O)cc1,165.1490084,-0.262963752,11.89934581
479,NC(C(=O)O)c1cccc(C=O)c1,165.1490084,-0.262963752,11.89978091
487,NC(C(=O)O)c1ccccc1C=O,165.1490084,-0.262963752,11.89687472
491,NC(C(=O)O)C(=O)c1ccccc1,165.1490084,-0.163338422,11.62839659
499,NC(C(=O)O)c1ccc(O)cc1,150.4894825,-0.279031419,9.47570931
503,NC(C(=O)O)c1cccc(O)c1,150.4894825,-0.279031419,9.375186333
509,NC(C(=O)O)c1ccccc1O,150.4894825,-0.279031419,9.113008013
521,CNc1cc(C(N)C(=O)O)cc(C)c1C,204.5839699,0.524154809,4.538975238
523,CNc1c(C(N)C(=O)O)ccc(C)c1C,204.5839699,0.524154809,3.754027038
541,CNc1ccc(C(N)C(=O)O)c(C)c1C,204.5839699,0.524154809,4.667981697
547,CNc1c(C)cc(C(N)C(=O)O)cc1C,204.5839699,0.524154809,4.506182453
557,CNc1c(C)ccc(C(N)C(=O)O)c1C,204.5839699,0.524154809,4.40787066
563,CNc1cc(C)c(C)cc1C(N)C(=O)O,204.5839699,0.524154809,4.244138374
569,CNc1cc(C(N)C(=O)O)c(C)cc1C,204.5839699,0.524154809,4.898143607
571,CNc1cc(C)c(C(N)C(=O)O)cc1C,204.5839699,0.524154809,4.651296259
577,CNc1cc(C)c(C)c(C(N)C(=O)O)c1,204.5839699,0.524154809,5.067581459
587,CNc1ccc(C)c(C)c1C(N)C(=O)O,204.5839699,0.524154809,4.252377433
593,CNc1c(C)cc(C)cc1C(N)C(=O)O,204.5839699,0.524154809,4.088454628
599,CNc1c(C)ccc(C)c1C(N)C(=O)O,204.5839699,0.524154809,3.745316222
601,CNc1cc(C)cc(C(N)C(=O)O)c1C,204.5839699,0.524154809,4.558808973
607,CNc1ccc(C)c(C(N)C(=O)O)c1C,204.5839699,0.524154809,4.934939787
613,CNc1cc(C)cc(C)c1C(N)C(=O)O,204.5839699,0.524154809,3.934774165
617,CNc1cc(C)c(C(N)C(=O)O)c(C)c1,204.5839699,0.524154809,4.849216277
619,Cc1cc(C(N)C(=O)O)cc(C)c1CN,204.5839699,0.177145118,9.296718895
631,CCc1c(C)cc(C(N)C(=O)O)cc1N,204.5839699,0.667019393,4.117553548
641,Cc1ccc(C(N)C(=O)O)c(C)c1CN,204.5839699,0.177145118,9.274470564
643,CCc1c(C)ccc(C(N)C(=O)O)c1N,204.5839699,0.667019393,3.439009426
647,CCc1c(N)ccc(C(N)C(=O)O)c1C,204.5839699,0.667019393,4.258405531
653,Cc1cc(C(N)C(=O)O)cc(CN)c1C,204.5839699,0.177145118,9.30098163
659,CCc1cc(C(N)C(=O)O)cc(N)c1C,204.5839699,0.667019393,4.155400659
661,Cc1c(CN)ccc(C(N)C(=O)O)c1C,204.5839699,0.177145118,9.328416209
673,CCc1ccc(C(N)C(=O)O)c(N)c1C,204.5839699,0.667019393,3.476634132
677,Cc1ccc(C(N)C(=O)O)c(CN)c1C,204.5839699,0.177145118,8.641763118
683,CCc1c(C(N)C(=O)O)ccc(N)c1C,204.5839699,0.667019393,4.296699291
691,CCc1cc(C(N)C(=O)O)cc(C)c1N,204.5839699,0.667019393,3.889307383
701,CCc1ccc(C(N)C(=O)O)c(C)c1N,204.5839699,0.667019393,3.790007855
709,CCc1c(C(N)C(=O)O)ccc(C)c1N,204.5839699,0.667019393,3.789829323
719,Cc1cc(C(N)C(=O)O)c(C)cc1CN,204.5839699,0.177145118,9.325850941
727,CCc1cc(N)c(C(N)C(=O)O)cc1C,204.5839699,0.667019393,3.984970385
733,Cc1cc(C)c(C(N)C(=O)O)cc1CN,204.5839699,0.177145118,9.302505072
739,CCc1cc(C(N)C(=O)O)c(N)cc1C,204.5839699,0.667019393,3.966905018
743,CCc1cc(C)c(C(N)C(=O)O)cc1N,204.5839699,0.667019393,4.301064447
751,CCc1cc(C(N)C(=O)O)c(C)cc1N,204.5839699,0.667019393,4.238433923
757,Cc1cc(CN)c(C)c(C(N)C(=O)O)c1,204.5839699,0.177145118,9.301518554
761,CCc1cc(N)cc(C(N)C(=O)O)c1C,204.5839699,0.667019393,4.709634932
769,Cc1ccc(CN)c(C)c1C(N)C(=O)O,204.5839699,0.177145118,9.30573093
773,CCc1ccc(N)c(C(N)C(=O)O)c1C,204.5839699,0.667019393,3.981853214
787,CCc1cc(C)cc(C(N)C(=O)O)c1N,204.5839699,0.667019393,3.586232357
797,CCc1ccc(C)c(C(N)C(=O)O)c1N,204.5839699,0.667019393,3.43376183
809,Cc1cc(CN)c(C(N)C(=O)O)cc1C,204.5839699,0.177145118,8.669614794
811,CCc1cc(C)c(N)cc1C(N)C(=O)O,204.5839699,0.667019393,4.321531111
821,CCc1cc(N)c(C)cc1C(N)C(=O)O,204.5839699,0.667019393,4.274667736
823,Cc1cc(C)c(CN)c(C(N)C(=O)O)c1,204.5839699,0.177145118,8.641180461
827,CCc1c(C)cc(N)cc1C(N)C(=O)O,204.5839699,0.667019393,4.691633133
829,Cc1ccc(C)c(C(N)C(=O)O)c1CN,204.5839699,0.177145118,8.643141617
839,CCc1c(C)ccc(N)c1C(N)C(=O)O,204.5839699,0.667019393,3.999814184
853,Cc1cc(CN)cc(C(N)C(=O)O)c1C,204.5839699,0.177145118,9.332077188
857,Cc1ccc(CN)c(C(N)C(=O)O)c1C,204.5839699,0.177145118,8.673561174
859,CCc1cc(C)c(N)c(C(N)C(=O)O)c1,204.5839699,0.667019393,3.606376476
863,CCc1ccc(C)c(N)c1C(N)C(=O)O,204.5839699,0.667019393,3.469186422
877,CCc1c(N)cc(C)cc1C(N)C(=O)O,204.5839699,0.667019393,4.140130809
881,CCc1c(N)ccc(C)c1C(N)C(=O)O,204.5839699,0.667019393,4.344244075
883,CCc1cc(N)c(C)c(C(N)C(=O)O)c1,204.5839699,0.667019393,4.176119227
887,CCc1ccc(N)c(C)c1C(N)C(=O)O,204.5839699,0.667019393,4.364862485
907,Cc1cc(CN)cc(C)c1C(N)C(=O)O,204.5839699,0.177145118,9.362558323
911,CCc1cc(C)c(C(N)C(=O)O)c(N)c1,204.5839699,0.667019393,3.883428832
919,Cc1cc(C)c(C(N)C(=O)O)c(CN)c1,204.5839699,0.177145118,8.67652658
929,CCc1cc(C)cc(N)c1C(N)C(=O)O,204.5839699,0.667019393,3.88330585
937,CCc1cc(N)cc(C)c1C(N)C(=O)O,204.5839699,0.667019393,4.698104911
941,Cc1cc(C(N)C(=O)O)c(N)c(C)c1C,204.5839699,0.735872117,3.831774893
947,Cc1c(N)cc(C(N)C(=O)O)c(C)c1C,204.5839699,0.735872117,4.543786996
953,Cc1cc(C(N)C(=O)O)c(C)c(N)c1C,204.5839699,0.735872117,4.014322109
967,Cc1cc(C(N)C(=O)O)c(C)c(C)c1N,204.5839699,0.735872117,4.121637165
971,Cc1cc(N)c(C(N)C(=O)O)c(C)c1C,204.5839699,0.735872117,4.224270796
977,Cc1cc(C)c(C(N)C(=O)O)c(N)c1C,204.5839699,0.735872117,3.697015698
983,Cc1cc(N)c(C)c(C)c1C(N)C(=O)O,204.5839699,0.735872117,4.508373996
991,Cc1cc(C)c(C(N)C(=O)O)c(C)c1N,204.5839699,0.735872117,4.234698607
997,Cc1cc(C)c(N)c(C(N)C(=O)O)c1C,204.5839699,0.735872117,3.826399819
1009,Cc1cc(N)c(C)c(C(N)C(=O)O)c1C,204.5839699,0.735872117,4.56801081
1013,CNCc1ccc(C(N)C(=O)O)cc1C,204.5839699,0.096304122,9.39131366
1019,CNCc1cc(C(N)C(=O)O)ccc1C,204.5839699,0.096304122,9.375401597
1021,CCc1ccc(C(N)C(=O)O)cc1NC,204.5839699,0.455302085,4.356075183
1031,CCc1cc(C(N)C(=O)O)ccc1NC,204.5839699,0.455302085,4.480399266
1033,CNCc1cccc(C(N)C(=O)O)c1C,204.5839699,0.096304122,9.379901574
1039,CCc1cccc(C(N)C(=O)O)c1NC,204.5839699,0.455302085,3.568766211
1049,CCNc1cc(C(N)C(=O)O)ccc1C,204.5839699,0.367541374,4.667179948
1051,CCNc1ccc(C(N)C(=O)O)cc1C,204.5839699,0.367541374,4.791860222
1061,CNCc1c(C)cccc1C(N)C(=O)O,204.5839699,0.096304122,8.764119149
1063,CCNc1c(C)cccc1C(N)C(=O)O,204.5839699,0.367541374,3.880666116
1069,CCc1c(NC)cccc1C(N)C(=O)O,204.5839699,0.455302085,4.393004851
1087,CCNc1cccc(C(N)C(=O)O)c1C,204.5839699,0.367541374,4.704274829
1091,CNCc1cc(C)cc(C(N)C(=O)O)c1,204.5839699,0.096304122,9.36757441
1093,CCc1cc(NC)cc(C(N)C(=O)O)c1,204.5839699,0.455302085,4.588348171
1097,CNCc1ccc(C(N)C(=O)O)c(C)c1,204.5839699,0.096304122,9.386215923
1103,CCc1ccc(C(N)C(=O)O)c(NC)c1,204.5839699,0.455302085,3.787091793
1109,CNCc1ccc(C)c(C(N)C(=O)O)c1,204.5839699,0.096304122,9.385862538
1117,CCc1ccc(NC)c(C(N)C(=O)O)c1,204.5839699,0.455302085,4.090279345
1123,CCNc1cc(C)cc(C(N)C(=O)O)c1,204.5839699,0.367541374,4.844283349
1129,CNCc1cc(C)ccc1C(N)C(=O)O,204.5839699,0.096304122,8.742382661
1151,CCNc1cc(C)ccc1C(N)C(=O)O,204.5839699,0.367541374,4.043233231
1153,CNCc1ccc(C)cc1C(N)C(=O)O,204.5839699,0.096304122,8.75636207
1163,CCNc1ccc(C)cc1C(N)C(=O)O,204.5839699,0.367541374,4.370497284
1171,CCc1cc(NC)ccc1C(N)C(=O)O,204.5839699,0.455302085,4.707602455
1181,CCNc1ccc(C(N)C(=O)O)c(C)c1,204.5839699,0.367541374,4.963381633
1187,CCc1ccc(NC)cc1C(N)C(=O)O,204.5839699,0.455302085,4.916693443
1193,CCNc1ccc(C)c(C(N)C(=O)O)c1,204.5839699,0.367541374,5.196132051
1201,CNCc1cccc(C)c1C(N)C(=O)O,204.5839699,0.096304122,8.746093243
1213,CCc1cccc(NC)c1C(N)C(=O)O,204.5839699,0.455302085,3.796376806
1217,CCNc1cccc(C)c1C(N)C(=O)O,204.5839699,0.367541374,4.05264927
1223,Cc1cc(C(N)C(=O)O)ccc1C(C)N,204.5839699,0.080298753,9.513066949
1229,Cc1ccc(C(N)C(=O)O)cc1C(C)N,204.5839699,0.080298753,9.488985887
1231,CC(C)c1ccc(C(N)C(=O)O)cc1N,204.5839699,0.4406171,3.854853336
1237,CC(C)c1cc(C(N)C(=O)O)ccc1N,204.5839699,0.4406171,3.987197723
1249,Cc1c(C(C)N)cccc1C(N)C(=O)O,204.5839699,0.080298753,9.492131317
1259,CC(C)c1cccc(C(N)C(=O)O)c1N,204.5839699,0.4406171,3.174473819
1277,Cc1cccc(C(N)C(=O)O)c1C(C)N,204.5839699,0.080298753,8.831650455
1279,CC(C)c1c(N)cccc1C(N)C(=O)O,204.5839699,0.4406171,3.898154089
1283,Cc1cc(C(C)N)cc(C(N)C(=O)O)c1,204.5839699,0.080298753,9.518942121
1289,CC(C)c1cc(N)cc(C(N)C(=O)O)c1,204.5839699,0.4406171,4.310692369
1291,Cc1cc(C(C)N)ccc1C(N)C(=O)O,204.5839699,0.080298753,9.545003899
1297,CC(C)c1ccc(C(N)C(=O)O)c(N)c1,204.5839699,0.4406171,3.619226607
1301,Cc1ccc(C(C)N)cc1C(N)C(=O)O,204.5839699,0.080298753,9.519498524
1303,CC(C)c1ccc(N)c(C(N)C(=O)O)c1,204.5839699,0.4406171,3.72298054
1307,Cc1ccc(C(N)C(=O)O)c(C(C)N)c1,204.5839699,0.080298753,8.86044273
1319,Cc1ccc(C(C)N)c(C(N)C(=O)O)c1,204.5839699,0.080298753,8.858934895
1321,CC(C)c1cc(N)ccc1C(N)C(=O)O,204.5839699,0.4406171,4.443320603
1327,CC(C)c1ccc(N)cc1C(N)C(=O)O,204.5839699,0.4406171,4.450816479
1361,Cc1cccc(C(C)N)c1C(N)C(=O)O,204.5839699,0.080298753,8.864391984
1367,CC(C)c1cccc(N)c1C(N)C(=O)O,204.5839699,0.4406171,3.635830784
1373,Cc1ccc(C(N)C(=O)O)cc1N(C)C,204.5839699,0.645999151,4.831220278
1381,Cc1cc(C(N)C(=O)O)ccc1N(C)C,204.5839699,0.645999151,4.970731594
1399,Cc1cccc(C(N)C(=O)O)c1N(C)C,204.5839699,0.645999151,4.312653123
1409,Cc1c(C(N)C(=O)O)cccc1N(C)C,204.5839699,0.645999151,4.871571991
1423,Cc1cc(C(N)C(=O)O)cc(N(C)C)c1,204.5839699,0.645999151,4.809422201
1427,Cc1ccc(C(N)C(=O)O)c(N(C)C)c1,204.5839699,0.645999151,4.280732054
1429,Cc1ccc(N(C)C)c(C(N)C(=O)O)c1,204.5839699,0.645999151,4.524225142
1433,Cc1cc(N(C)C)ccc1C(N)C(=O)O,204.5839699,0.645999151,4.948858524
1439,Cc1ccc(N(C)C)cc1C(N)C(=O)O,204.5839699,0.645999151,5.113544413
1447,Cc1cccc(N(C)C)c1C(N)C(=O)O,204.5839699,0.645999151,4.297245411
1451,CNC(C)c1ccc(C(N)C(=O)O)cc1,204.5839699,-0.000542243,9.436289803
1453,CNC(C)c1cccc(C(N)C(=O)O)c1,204.5839699,-0.000542243,9.42054239
1459,CC(C)Nc1ccc(C(N)C(=O)O)cc1,204.5839699,0.27069501,5.012329708
1471,CC(C)Nc1cccc(C(N)C(=O)O)c1,204.5839699,0.27069501,4.898381657
1481,CNC(C)c1ccccc1C(N)C(=O)O,204.5839699,-0.000542243,8.797133607
1483,CC(C)Nc1ccccc1C(N)C(=O)O,204.5839699,0.27069501,4.095496067
1487,CC(C)(N)c1ccc(C(N)C(=O)O)cc1,204.5839699,-0.152545968,9.737287527
1489,CC(C)(N)c1cccc(C(N)C(=O)O)c1,204.5839699,-0.152545968,9.714342003
1493,CC(C)(N)c1ccccc1C(N)C(=O)O,204.5839699,-0.152545968,9.057462913
1499,CN(C)Cc1ccc(C(N)C(=O)O)cc1,204.5839699,-0.03406933,8.818170646
1511,CN(C)Cc1cccc(C(N)C(=O)O)c1,204.5839699,-0.03406933,8.793678052
1523,CCN(C)c1ccc(C(N)C(=O)O)cc1,204.5839699,0.489385716,5.100948582
1531,CCN(C)c1cccc(C(N)C(=O)O)c1,204.5839699,0.489385716,4.959473265
1543,CN(C)Cc1ccccc1C(N)C(=O)O,204.5839699,-0.03406933,8.141638006
1549,CCN(C)c1ccccc1C(N)C(=O)O,204.5839699,0.489385716,4.40609945
1553,CNCCc1ccc(C(N)C(=O)O)cc1,204.5839699,-0.128456062,10.10762893
1559,CCNCc1ccc(C(N)C(=O)O)cc1,204.5839699,-0.060309313,9.433774805
1567,CNCCc1cccc(C(N)C(=O)O)c1,204.5839699,-0.128456062,10.09347851
1571,CCNCc1cccc(C(N)C(=O)O)c1,204.5839699,-0.060309313,9.418011962
1579,CCCNc1ccc(C(N)C(=O)O)cc1,204.5839699,0.37664238,4.935543975
1583,CCCNc1cccc(C(N)C(=O)O)c1,204.5839699,0.37664238,4.821656118
1597,CNCCc1ccccc1C(N)C(=O)O,204.5839699,-0.128456062,10.06400743
1601,CCNCc1ccccc1C(N)C(=O)O,204.5839699,-0.060309313,8.794270251
1607,CCCNc1ccccc1C(N)C(=O)O,204.5839699,0.37664238,4.019116351
1609,NCCCc1ccc(C(N)C(=O)O)cc1,204.5839699,-0.116467791,10.04279621
1613,NCCCc1cccc(C(N)C(=O)O)c1,204.5839699,-0.116467791,10.04279946
1619,NCCCc1ccccc1C(N)C(=O)O,204.5839699,-0.116467791,10.04279477
1621,CC(CN)c1ccc(C(N)C(=O)O)cc1,204.5839699,-0.19606363,9.801545842
1627,CCC(N)c1ccc(C(N)C(=O)O)cc1,204.5839699,0.089399759,9.542892771
1637,CC(CN)c1cccc(C(N)C(=O)O)c1,204.5839699,-0.19606363,9.795585782
1657,CCC(N)c1cccc(C(N)C(=O)O)c1,204.5839699,0.089399759,9.520550498
1663,CC(N)Cc1ccc(C(N)C(=O)O)cc1,204.5839699,-0.144461431,10.00873583
1667,CC(N)Cc1cccc(C(N)C(=O)O)c1,204.5839699,-0.144461431,10.00259212
1669,CC(CN)c1ccccc1C(N)C(=O)O,204.5839699,-0.19606363,9.774675058
1693,CCC(N)c1ccccc1C(N)C(=O)O,204.5839699,0.089399759,8.864504124
1697,CC(N)Cc1ccccc1C(N)C(=O)O,204.5839699,-0.144461431,9.981003936
1699,CCc1ccc(C(N)C(=O)O)cc1CN,204.5839699,0.108292393,9.251063547
1709,CCc1cc(C(N)C(=O)O)ccc1CN,204.5839699,0.108292393,9.275721986
1721,Cc1cc(C(N)C(=O)O)ccc1CCN,204.5839699,-0.047615067,9.800352507
1723,Cc1ccc(C(N)C(=O)O)cc1CCN,204.5839699,-0.047615067,9.793499201
1733,CCCc1ccc(C(N)C(=O)O)cc1N,204.5839699,0.598166668,3.90985943
1741,CCCc1cc(C(N)C(=O)O)ccc1N,204.5839699,0.598166668,4.042351753
1747,CCc1cccc(C(N)C(=O)O)c1CN,204.5839699,0.108292393,8.592244441
1753,CCc1c(CN)cccc1C(N)C(=O)O,204.5839699,0.108292393,9.254279455
1759,Cc1c(CCN)cccc1C(N)C(=O)O,204.5839699,-0.047615067,9.795236639
1777,CCCc1cccc(C(N)C(=O)O)c1N,204.5839699,0.598166668,3.229327304
1783,Cc1cccc(C(N)C(=O)O)c1CCN,204.5839699,-0.047615067,9.771604403
1787,CCCc1c(N)cccc1C(N)C(=O)O,204.5839699,0.598166668,3.953305403
1789,CCc1cc(CN)cc(C(N)C(=O)O)c1,204.5839699,0.108292393,9.284788381
1801,Cc1cc(CCN)cc(C(N)C(=O)O)c1,204.5839699,-0.047615067,9.785898715
1811,CCCc1cc(N)cc(C(N)C(=O)O)c1,204.5839699,0.598166668,4.3397072
1823,CCc1ccc(C(N)C(=O)O)c(CN)c1,204.5839699,0.108292393,8.624690458
1831,CCc1cc(CN)ccc1C(N)C(=O)O,204.5839699,0.108292393,9.311589415
1847,Cc1cc(CCN)ccc1C(N)C(=O)O,204.5839699,-0.047615067,9.792573544
1861,CCCc1ccc(C(N)C(=O)O)c(N)c1,204.5839699,0.598166668,3.648340101
1867,CCc1ccc(CN)c(C(N)C(=O)O)c1,204.5839699,0.108292393,8.625495745
1871,CCc1ccc(CN)cc1C(N)C(=O)O,204.5839699,0.108292393,9.287725933
1873,Cc1ccc(CCN)cc1C(N)C(=O)O,204.5839699,-0.047615067,9.803687526
1877,CCCc1ccc(N)c(C(N)C(=O)O)c1,204.5839699,0.598166668,3.759937535
1879,Cc1ccc(C(N)C(=O)O)c(CCN)c1,204.5839699,-0.047615067,9.763445623
1889,Cc1ccc(CCN)c(C(N)C(=O)O)c1,204.5839699,-0.047615067,9.779959753
1901,CCCc1cc(N)ccc1C(N)C(=O)O,204.5839699,0.598166668,4.472156773
1907,CCCc1ccc(N)cc1C(N)C(=O)O,204.5839699,0.598166668,4.487607408
1913,CCc1cccc(CN)c1C(N)C(=O)O,204.5839699,0.108292393,8.628724781
